data_status,snapshot_date,region_code,region_type,service_cohort,eligible_estimate_n,outreach_n,booked_n,completed_n,abnormal_n,followup_completed_n,missing_pct,denominator_note,version
教學合成資料,2026-07-12,示範區B,近郊型服務區（虛構）,大腸癌_40至44歲家族史,1400,1030,544,472,31,25,1.7,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區B,近郊型服務區（虛構）,乳癌_擴大年齡,4800,3571,1900,1638,115,94,1.7,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區B,近郊型服務區（虛構）,子宮頸抹片_25至29歲,2600,1955,1048,897,40,33,1.8,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區B,近郊型服務區（虛構）,HPV檢測_35歲45歲65歲,4000,3040,1642,1396,140,115,1.9,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區C,鄉鎮型服務區（虛構）,肺癌_擴大資格,5900,3776,1812,1522,122,93,3.2,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區C,鄉鎮型服務區（虛構）,大腸癌_45至49歲,3800,2462,1192,994,60,46,3.3,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區C,鄉鎮型服務區（虛構）,大腸癌_40至44歲家族史,1200,787,384,318,21,16,3.4,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區C,鄉鎮型服務區（虛構）,乳癌_擴大年齡,4400,2922,1438,1182,83,63,3.4,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區C,鄉鎮型服務區（虛構）,子宮頸抹片_25至29歲,2400,1613,800,653,29,22,3.5,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區C,鄉鎮型服務區（虛構）,HPV檢測_35歲45歲65歲,3500,2380,1190,964,96,73,3.6,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區D,離島型服務區（虛構）,肺癌_擴大資格,6200,3472,1562,1250,100,70,6.0,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區D,離島型服務區（虛構）,大腸癌_45至49歲,3900,2215,1006,799,48,34,6.1,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區D,離島型服務區（虛構）,大腸癌_40至44歲家族史,1300,749,343,270,18,13,6.2,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區D,離島型服務區（虛構）,乳癌_擴大年齡,4500,2628,1214,949,66,46,6.2,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區D,離島型服務區（虛構）,子宮頸抹片_25至29歲,2500,1480,690,535,24,17,6.3,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
教學合成資料,2026-07-12,示範區D,離島型服務區（虛構）,HPV檢測_35歲45歲65歲,3900,2340,1100,847,85,59,6.4,資格估計數已去除重複；完成率分母為eligible_estimate_n,v2
